Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada, Montana , High ,200,5,350,70000,9800,60200,52000,8200,5/1/2014,5, May ,2014
Small Business,Germany, Carretera , Low ,214,3,300,64200,1284,62916,53500,9416,10/1/2013,10, October ,2013
Small Business,Germany, VTT , Low ,214,250,300,64200,1284,62916,53500,9416,10/1/2013,10, October ,2013
Midmarket,Canada, Paseo , Low ,218,10,15,3270,130.8,3139.2,2180,959.2,9/1/2014,9, September ,2014
Government,Germany, Paseo , High ,241,10,20,4820,482,4338,2410,1928,10/1/2014,10, October ,2014
Government,Germany, Velo , High ,241,120,20,4820,482,4338,2410,1928,10/1/2014,10, October ,2014
Midmarket,Mexico, Velo , Medium ,245,120,15,3675,330.75,3344.25,2450,894.25,5/1/2014,5, May ,2014
Government,Canada, Paseo , Medium ,257,10,7,1799,143.92,1655.08,1285,370.08,5/1/2014,5, May ,2014
Small Business,Germany, Amarilla , Low ,259,260,300,77700,1554,76146,64750,11396,3/1/2014,3, March ,2014
Government,Mexico, Paseo , High ,260,10,20,5200,728,4472,2600,1872,2/1/2014,2, February ,2014
Government,Germany, VTT , Low ,263,250,7,1841,18.41,1822.59,1315,507.59,3/1/2014,3, March ,2014
Government,United States of America, Carretera , Medium ,263,3,7,1841,110.46,1730.54,1315,415.54,11/1/2013,11, November ,2013
Government,United States of America, VTT , Low ,266,250,350,93100,1862,91238,69160,22078,12/1/2013,12, December ,2013
Government,United States of America, Paseo , High ,267,10,20,5340,801,4539,2670,1869,10/1/2013,10, October ,2013
Government,United States of America, VTT , High ,267,250,20,5340,801,4539,2670,1869,10/1/2013,10, October ,2013
Small Business,Canada, Velo , High ,269,120,300,80700,11298,69402,67250,2152,10/1/2013,10, October ,2013
Small Business,Canada, VTT , High ,269,250,300,80700,11298,69402,67250,2152,10/1/2013,10, October ,2013
Government,United States of America, Amarilla , High ,270,260,350,94500,11340,83160,70200,12960,2/1/2014,2, February ,2014
Government,United States of America, Carretera , Low ,274,3,350,95900,3836,92064,71240,20824,12/1/2014,12, December ,2014
Government,United States of America, Paseo , Low ,274,10,350,95900,3836,92064,71240,20824,12/1/2014,12, December ,2014
Midmarket,Germany, Paseo , High ,278,10,15,4170,583.8,3586.2,2780,806.2,2/1/2014,2, February ,2014
Government,Germany, Carretera , High ,280,3,7,1960,274.4,1685.6,1400,285.6,12/1/2014,12, December ,2014
Government,Germany, VTT , High ,280,250,7,1960,274.4,1685.6,1400,285.6,12/1/2014,12, December ,2014
Government,Canada, Paseo ,,292,10,20,5840,0,5840,2920,2920,2/1/2014,2, February ,2014
Government,France, Paseo , High ,293,10,20,5860,879,4981,2930,2051,12/1/2014,12, December ,2014
Government,France, VTT , High ,293,250,20,5860,879,4981,2930,2051,12/1/2014,12, December ,2014
Government,France, Montana , High ,293,5,7,2051,287.14,1763.86,1465,298.86,2/1/2014,2, February ,2014
Channel Partners,France, Amarilla , Medium ,306,260,12,3672,330.48,3341.52,918,2423.52,12/1/2013,12, December ,2013
Midmarket,France, Amarilla , Low ,321,260,15,4815,48.15,4766.85,3210,1556.85,11/1/2013,11, November ,2013
Small Business,France, Montana , Medium ,322,5,300,96600,8694,87906,80500,7406,9/1/2013,9, September ,2013
Enterprise,United States of America, Carretera , Low ,330,3,125,41250,412.5,40837.5,39600,1237.5,9/1/2013,9, September ,2013
Small Business,Germany, Montana , Medium ,334,5,300,100200,9018,91182,83500,7682,12/1/2013,12, December ,2013
Enterprise,Mexico, VTT , High ,341,250,125,42625,4262.5,38362.5,40920,-2557.5,5/1/2014,5, May ,2014
Government,Mexico, Velo , High ,344,120,350,120400,13244,107156,89440,17716,10/1/2013,10, October ,2013
Government,Mexico, Amarilla , High ,344,260,350,120400,13244,107156,89440,17716,10/1/2013,10, October ,2013
Enterprise,Canada, Montana ,,345,5,125,43125,0,43125,41400,1725,10/1/2013,10, October ,2013
Enterprise,Canada, Velo ,,345,120,125,43125,0,43125,41400,1725,10/1/2013,10, October ,2013
Government,United States of America, VTT , Low ,349,250,350,122150,4886,117264,90740,26524,9/1/2013,9, September ,2013
Government,Germany, Paseo , High ,357,10,350,124950,16243.5,108706.5,92820,15886.5,11/1/2014,11, November ,2014
Government,Germany, Paseo , Medium ,360,10,7,2520,226.8,2293.2,1800,493.2,10/1/2014,10, October ,2014
Government,Germany, VTT , Medium ,360,250,7,2520,226.8,2293.2,1800,493.2,10/1/2014,10, October ,2014
Government,Mexico, Velo , Low ,362,120,7,2534,25.34,2508.66,1810,698.66,5/1/2014,5, May ,2014
Channel Partners,Germany, Paseo ,,367,10,12,4404,0,4404,1101,3303,7/1/2014,7, July ,2014
Channel Partners,Mexico, Carretera , Medium ,367,3,12,4404,396.36,4007.64,1101,2906.64,10/1/2013,10, October ,2013
Channel Partners,Mexico, Paseo , Medium ,367,10,12,4404,396.36,4007.64,1101,2906.64,10/1/2013,10, October ,2013
Midmarket,Mexico, Paseo , High ,380,10,15,5700,684,5016,3800,1216,12/1/2013,12, December ,2013
Government,United States of America, Paseo , High ,380,10,7,2660,292.6,2367.4,1900,467.4,9/1/2013,9, September ,2013
Government,France, VTT , Medium ,381,250,350,133350,10668,122682,99060,23622,8/1/2014,8, August ,2014
Midmarket,Canada, Velo , High ,384,120,15,5760,633.6,5126.4,3840,1286.4,1/1/2014,1, January ,2014
Small Business,France, Velo , Medium ,386,120,300,115800,9264,106536,96500,10036,11/1/2013,11, November ,2013
Channel Partners,United States of America, Carretera , High ,386,3,12,4632,463.2,4168.8,1158,3010.8,10/1/2013,10, October ,2013
Channel Partners,United States of America, Paseo , High ,386,10,12,4632,463.2,4168.8,1158,3010.8,10/1/2013,10, October ,2013
Government,Canada, Montana , High ,388,5,7,2716,380.24,2335.76,1940,395.76,9/1/2014,9, September ,2014
Channel Partners,Mexico, Velo , High ,410,120,12,4920,639.6,4280.4,1230,3050.4,10/1/2014,10, October ,2014
Channel Partners,Mexico, Amarilla , High ,410,260,12,4920,639.6,4280.4,1230,3050.4,10/1/2014,10, October ,2014
Government,Germany, VTT , Medium ,422,250,350,147700,11816,135884,109720,26164,8/1/2014,8, August ,2014
Small Business,Mexico, VTT , High ,432,250,300,129600,12960,116640,108000,8640,9/1/2014,9, September ,2014
Government,United States of America, VTT , Medium ,436.5,250,20,8730,698.4,8031.6,4365,3666.6,7/1/2014,7, July ,2014
Government,Germany, Carretera , High ,442,3,20,8840,1149.2,7690.8,4420,3270.8,9/1/2013,9, September ,2013
Small Business,France, Carretera , Medium ,448,3,300,134400,9408,124992,112000,12992,6/1/2014,6, June ,2014
Small Business,France, Paseo , Medium ,448,10,300,134400,9408,124992,112000,12992,6/1/2014,6, June ,2014
Channel Partners,Germany, Velo , High ,472,120,12,5664,623.04,5040.96,1416,3624.96,10/1/2014,10, October ,2014
Channel Partners,Germany, Amarilla , High ,472,260,12,5664,623.04,5040.96,1416,3624.96,10/1/2014,10, October ,2014
Government,Canada, Montana , Medium ,488,5,7,3416,273.28,3142.72,2440,702.72,2/1/2014,2, February ,2014
Midmarket,France, Carretera , Medium ,490,3,15,7350,588,6762,4900,1862,11/1/2014,11, November ,2014
Midmarket,Germany, VTT , High ,492,250,15,7380,1107,6273,4920,1353,7/1/2014,7, July ,2014
Small Business,Mexico, Carretera , Low ,494,3,300,148200,1482,146718,123500,23218,10/1/2013,10, October ,2013
Small Business,Mexico, VTT , Low ,494,250,300,148200,1482,146718,123500,23218,10/1/2013,10, October ,2013
Channel Partners,Mexico, Velo , High ,500,120,12,6000,900,5100,1500,3600,3/1/2014,3, March ,2014
Midmarket,Germany, Velo , High ,510,120,15,7650,765,6885,5100,1785,4/1/2014,4, April ,2014
Government,Mexico, Carretera , Medium ,521,3,7,3647,328.23,3318.77,2605,713.77,12/1/2014,12, December ,2014
Government,Mexico, VTT , Medium ,521,250,7,3647,328.23,3318.77,2605,713.77,12/1/2014,12, December ,2014
Government,Mexico, Velo , Low ,544,120,20,10880,217.6,10662.4,5440,5222.4,12/1/2013,12, December ,2013
Government,France, Montana , Low ,544,5,7,3808,114.24,3693.76,2720,973.76,9/1/2014,9, September ,2014
Small Business,Mexico, Montana , High ,546,5,300,163800,24570,139230,136500,2730,10/1/2014,10, October ,2014
Small Business,Mexico, Amarilla , High ,546,260,300,163800,24570,139230,136500,2730,10/1/2014,10, October ,2014
Government,United States of America, Velo , Medium ,547,120,7,3829,268.03,3560.97,2735,825.97,11/1/2014,11, November ,2014
Midmarket,France, Paseo ,,549,10,15,8235,0,8235,5490,2745,9/1/2013,9, September ,2013
Government,Canada, Amarilla , Medium ,552,260,350,193200,9660,183540,143520,40020,8/1/2014,8, August ,2014
Enterprise,Germany, VTT , High ,552,250,125,69000,10350,58650,66240,-7590,11/1/2014,11, November ,2014
Enterprise,Mexico, VTT , High ,554,250,125,69250,7617.5,61632.5,66480,-4847.5,1/1/2014,1, January ,2014
Midmarket,United States of America, Velo , Medium ,555,120,15,8325,416.25,7908.75,5550,2358.75,1/1/2014,1, January ,2014
Channel Partners,Mexico, Carretera , Medium ,562,3,12,6744,404.64,6339.36,1686,4653.36,9/1/2014,9, September ,2014
Enterprise,Canada, Velo , Medium ,567,120,125,70875,6378.75,64496.25,68040,-3543.75,9/1/2014,9, September ,2014
Government,United States of America, Carretera , Medium ,570,3,7,3990,199.5,3790.5,2850,940.5,12/1/2014,12, December ,2014
Government,United States of America, VTT , Medium ,570,250,7,3990,199.5,3790.5,2850,940.5,12/1/2014,12, December ,2014
Channel Partners,Mexico, Paseo , High ,571,10,12,6852,890.76,5961.24,1713,4248.24,7/1/2014,7, July ,2014
Government,France, VTT , Medium ,574.5,250,350,201075,16086,184989,149370,35619,4/1/2014,4, April ,2014
Enterprise,United States of America, Amarilla , High ,579,260,125,72375,7237.5,65137.5,69480,-4342.5,1/1/2014,1, January ,2014
Government,Germany, Velo , Medium ,588,120,20,11760,823.2,10936.8,5880,5056.8,12/1/2013,12, December ,2013
Small Business,Mexico, Paseo , High ,591,10,300,177300,17730,159570,147750,11820,5/1/2014,5, May ,2014
Channel Partners,Canada, Velo , Medium ,598,120,12,7176,574.08,6601.92,1794,4807.92,3/1/2014,3, March ,2014
Government,United States of America, Paseo , Medium ,602,10,350,210700,10535,200165,156520,43645,6/1/2014,6, June ,2014
Government,United States of America, Velo , Medium ,602,120,350,210700,10535,200165,156520,43645,6/1/2014,6, June ,2014
Channel Partners,Mexico, Montana , High ,604,5,12,7248,942.24,6305.76,1812,4493.76,6/1/2014,6, June ,2014
Channel Partners,Mexico, Velo , High ,604,120,12,7248,942.24,6305.76,1812,4493.76,6/1/2014,6, June ,2014
Government,United States of America, Velo , High ,606,120,20,12120,1696.8,10423.2,6060,4363.2,4/1/2014,4, April ,2014
Government,Mexico, Velo , Medium ,609,120,20,12180,852.6,11327.4,6090,5237.4,8/1/2014,8, August ,2014
Midmarket,United States of America, Montana ,,615,5,15,9225,0,9225,6150,3075,12/1/2014,12, December ,2014
Midmarket,United States of America, Amarilla ,,615,260,15,9225,0,9225,6150,3075,12/1/2014,12, December ,2014
Government,Canada, VTT , High ,623,250,350,218050,26166,191884,161980,29904,9/1/2013,9, September ,2013
Small Business,Mexico, Velo , Medium ,635,120,300,190500,15240,175260,158750,16510,12/1/2014,12, December ,2014
Small Business,Mexico, Amarilla , Medium ,635,260,300,190500,15240,175260,158750,16510,12/1/2014,12, December ,2014
Government,France, Velo , High ,639,120,350,223650,22365,201285,166140,35145,7/1/2014,7, July ,2014
Government,France, Velo , Low ,639,120,7,4473,44.73,4428.27,3195,1233.27,11/1/2014,11, November ,2014
Midmarket,Mexico, VTT , High ,641,250,15,9615,961.5,8653.5,6410,2243.5,7/1/2014,7, July ,2014
Government,Germany, Montana , Medium ,645,5,20,12900,1032,11868,6450,5418,7/1/2014,7, July ,2014
Midmarket,Mexico, Velo , High ,655,120,15,9825,1080.75,8744.25,6550,2194.25,9/1/2013,9, September ,2013
Midmarket,Germany, Velo , High ,660,120,15,9900,1287,8613,6600,2013,9/1/2013,9, September ,2013
Enterprise,Mexico, Paseo , Low ,662,10,125,82750,1655,81095,79440,1655,6/1/2014,6, June ,2014
Enterprise,Mexico, VTT , Low ,662,250,125,82750,1655,81095,79440,1655,6/1/2014,6, June ,2014
Government,Germany, Carretera , Medium ,663,3,20,13260,1193.4,12066.6,6630,5436.6,5/1/2014,5, May ,2014
Enterprise,United States of America, Montana , Low ,663,5,125,82875,828.75,82046.25,79560,2486.25,10/1/2013,10, October ,2013
Enterprise,United States of America, Velo , Low ,663,120,125,82875,828.75,82046.25,79560,2486.25,10/1/2013,10, October ,2013
Enterprise,France, Velo , High ,663,120,125,82875,12431.25,70443.75,79560,-9116.25,9/1/2014,9, September ,2014
Midmarket,United States of America, Paseo , Low ,671,10,15,10065,402.6,9662.4,6710,2952.4,10/1/2013,10, October ,2013
Midmarket,United States of America, Amarilla , Low ,671,260,15,10065,402.6,9662.4,6710,2952.4,10/1/2013,10, October ,2013
Midmarket,United States of America, Montana , High ,677,5,15,10155,1218.6,8936.4,6770,2166.4,3/1/2014,3, March ,2014
Government,United States of America, Paseo , Medium ,678,10,7,4746,379.68,4366.32,3390,976.32,8/1/2014,8, August ,2014
Midmarket,Germany, Velo , High ,681,120,15,10215,1021.5,9193.5,6810,2383.5,1/1/2014,1, January ,2014
Small Business,Germany, Carretera , Low ,689,3,300,206700,6201,200499,172250,28249,6/1/2014,6, June ,2014
Small Business,Germany, Paseo , Low ,689,10,300,206700,6201,200499,172250,28249,6/1/2014,6, June ,2014
Channel Partners,Mexico, Montana , Low ,690,5,12,8280,165.6,8114.4,2070,6044.4,11/1/2014,11, November ,2014
Government,Canada, Paseo , High ,700,10,350,245000,34300,210700,182000,28700,11/1/2014,11, November ,2014
Enterprise,France, Paseo , Medium ,704,10,125,88000,4400,83600,84480,-880,10/1/2013,10, October ,2013
Enterprise,France, Velo , Medium ,704,120,125,88000,4400,83600,84480,-880,10/1/2013,10, October ,2013
Government,Canada, Amarilla , High ,707,260,350,247450,24745,222705,183820,38885,9/1/2014,9, September ,2014
Government,Canada, Montana , Medium ,708,5,20,14160,1132.8,13027.2,7080,5947.2,6/1/2014,6, June ,2014
Government,Canada, Amarilla , Medium ,708,260,20,14160,1132.8,13027.2,7080,5947.2,6/1/2014,6, June ,2014
Midmarket,Germany, Montana , Medium ,711,5,15,10665,853.2,9811.8,7110,2701.8,12/1/2014,12, December ,2014
Midmarket,Germany, Amarilla , Medium ,711,260,15,10665,853.2,9811.8,7110,2701.8,12/1/2014,12, December ,2014
Government,Mexico, Montana , Medium ,720,5,350,252000,12600,239400,187200,52200,9/1/2013,9, September ,2013
Government,Canada, Paseo , High ,723,10,7,5061,759.15,4301.85,3615,686.85,4/1/2014,4, April ,2014
Government,United States of America, Paseo , Medium ,727,10,350,254450,15267,239183,189020,50163,10/1/2013,10, October ,2013
Government,United States of America, Amarilla , Medium ,727,260,350,254450,15267,239183,189020,50163,10/1/2013,10, October ,2013
Channel Partners,Mexico, Carretera , Medium ,727,3,12,8724,610.68,8113.32,2181,5932.32,2/1/2014,2, February ,2014
Enterprise,United States of America, Paseo , Low ,727,10,125,90875,908.75,89966.25,87240,2726.25,6/1/2014,6, June ,2014
Enterprise,United States of America, VTT , Low ,727,250,125,90875,908.75,89966.25,87240,2726.25,6/1/2014,6, June ,2014
Government,United States of America, Velo , Low ,736,120,20,14720,588.8,14131.2,7360,6771.2,9/1/2013,9, September ,2013
Enterprise,Canada, Carretera , Low ,742.5,3,125,92812.5,1856.25,90956.25,89100,1856.25,4/1/2014,4, April ,2014
Midmarket,Germany, Paseo , Low ,747,10,15,11205,112.05,11092.95,7470,3622.95,9/1/2014,9, September ,2014
Government,Germany, Montana , High ,766,5,350,268100,29491,238609,199160,39449,1/1/2014,1, January ,2014
Channel Partners,Germany, Carretera , Low ,766,3,12,9192,91.92,9100.08,2298,6802.08,10/1/2013,10, October ,2013
Channel Partners,Germany, Paseo , Low ,766,10,12,9192,91.92,9100.08,2298,6802.08,10/1/2013,10, October ,2013
Enterprise,France, Paseo , Low ,787,10,125,98375,983.75,97391.25,94440,2951.25,6/1/2014,6, June ,2014
Enterprise,France, VTT , Low ,787,250,125,98375,983.75,97391.25,94440,2951.25,6/1/2014,6, June ,2014
Small Business,Mexico, Paseo ,,788,10,300,236400,0,236400,197000,39400,9/1/2013,9, September ,2013
Midmarket,United States of America, Velo , High ,790,120,15,11850,1185,10665,7900,2765,5/1/2014,5, May ,2014
Government,Germany, Carretera , High ,792,3,350,277200,30492,246708,205920,40788,3/1/2014,3, March ,2014
Enterprise,Germany, Paseo , Low ,795,10,125,99375,3975,95400,95400,0,3/1/2014,3, March ,2014
Small Business,Mexico, Carretera , High ,801,3,300,240300,33642,206658,200250,6408,7/1/2014,7, July ,2014
Small Business,Germany, Paseo , High ,807,10,300,242100,31473,210627,201750,8877,1/1/2014,1, January ,2014
Enterprise,Germany, Velo , Medium ,807,120,125,100875,5043.75,95831.25,96840,-1008.75,2/1/2014,2, February ,2014
Small Business,United States of America, VTT , Medium ,808,250,300,242400,19392,223008,202000,21008,12/1/2013,12, December ,2013
Enterprise,Germany, Paseo , Low ,809,10,125,101125,2022.5,99102.5,97080,2022.5,10/1/2013,10, October ,2013
Enterprise,Germany, Velo , Low ,809,120,125,101125,2022.5,99102.5,97080,2022.5,10/1/2013,10, October ,2013
Government,Canada, Carretera , Medium ,819,3,7,5733,515.97,5217.03,4095,1122.03,7/1/2014,7, July ,2014
Government,Canada, Carretera , Low ,831,3,20,16620,498.6,16121.4,8310,7811.4,5/1/2014,5, May ,2014
Small Business,France, Velo , High ,853,120,300,255900,25590,230310,213250,17060,12/1/2014,12, December ,2014
Small Business,France, Amarilla , High ,853,260,300,255900,25590,230310,213250,17060,12/1/2014,12, December ,2014
Enterprise,United States of America, Paseo , Medium ,861,10,125,107625,5381.25,102243.75,103320,-1076.25,10/1/2014,10, October ,2014
Enterprise,United States of America, Velo , Medium ,861,120,125,107625,5381.25,102243.75,103320,-1076.25,10/1/2014,10, October ,2014
Government,Canada, VTT , High ,865.5,250,20,17310,2596.5,14713.5,8655,6058.5,7/1/2014,7, July ,2014
Channel Partners,France, VTT , Low ,866,250,12,10392,415.68,9976.32,2598,7378.32,5/1/2014,5, May ,2014
Small Business,Canada, Paseo , High ,873,10,300,261900,28809,233091,218250,14841,1/1/2014,1, January ,2014
Enterprise,Mexico, VTT , Medium ,877,250,125,109625,9866.25,99758.75,105240,-5481.25,11/1/2014,11, November ,2014
Channel Partners,Germany, VTT , Medium ,880,250,12,10560,950.4,9609.6,2640,6969.6,5/1/2014,5, May ,2014
Government,Mexico, Paseo ,,883,10,7,6181,0,6181,4415,1766,8/1/2014,8, August ,2014
Government,Mexico, Carretera , High ,886,3,350,310100,37212,272888,230360,42528,6/1/2014,6, June ,2014
Government,Mexico, Paseo , High ,886,10,350,310100,37212,272888,230360,42528,6/1/2014,6, June ,2014
Enterprise,Germany, Carretera , Medium ,887,3,125,110875,6652.5,104222.5,106440,-2217.5,12/1/2013,12, December ,2013
Small Business,Canada, Amarilla , High ,888,260,300,266400,37296,229104,222000,7104,3/1/2014,3, March ,2014
Midmarket,Germany, Carretera ,,888,3,15,13320,0,13320,8880,4440,6/1/2014,6, June ,2014
Midmarket,Germany, VTT ,,888,250,15,13320,0,13320,8880,4440,6/1/2014,6, June ,2014
Government,Mexico, Paseo , High ,905,10,20,18100,2172,15928,9050,6878,10/1/2014,10, October ,2014
Government,Mexico, Velo , High ,905,120,20,18100,2172,15928,9050,6878,10/1/2014,10, October ,2014
Channel Partners,Canada, Carretera , Low ,908,3,12,10896,326.88,10569.12,2724,7845.12,12/1/2013,12, December ,2013
Channel Partners,United States of America, Paseo ,,912,10,12,10944,0,10944,2736,8208,11/1/2013,11, November ,2013
